Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,1.08,44.926,,47.868,622.153,622.153,,24.861,,,223.737,8999.553,54.568,37.051,69.269,40.146
Albania,-0.734,204.533,,232.339,468.05,468.05,,3.011,14.1,,541.804,179912.378,26.803,35.77,94.655,6.026
Algeria,21.183,3082.692,,2052.037,1992.25,149.549,,32.855,15.265,,5285.319,160868.032,51.861,31.334,111.49,4.954
Angola,5.138,1085.844,,854.785,879.416,,,18.688,,,750.784,40175.178,26.977,8.779,53.596,28.148
Antigua and Barbuda,-0.171,0.533,,0.942,2.558,,,0.08,,,2.348,29261.509,10.403,,110.88,1.022
Argentina,5.056,154.96,11.692,142.219,389.941,,,38.592,11.575,,585.266,15165.405,21.346,19.063,44.516,11.201
Armenia,-0.124,401.359,,445.685,459.054,,,3.01,31.2,,2242.881,745143.156,25.843,28.371,171.899,17.301
Australia,-43.467,349.845,15.472,333.388,104.687,-36.656,9.877,20.312,5.033,0.33,1256.373,61855.123,21.859,27.911,83.9,3.055
Austria,6.245,122.629,-4.895,128.98,172.842,,3.23,8.201,5.65,-1.159,276.29,33688.175,25.956,23.886,100.72,6.511
Azerbaijan,0.167,3.143,,2.839,1.67,,,8.613,7.625,,9.955,1155.827,42.788,41.525,127.271,41.098
Bahrain,1.476,1.671,,1.497,1.453,1.453,,0.889,,,7.377,8300.073,35.967,26.736,99,13.413
Bangladesh,0.008,402.341,,525.03,1819.143,,,143.135,,,4562.197,31873.343,27.079,26.063,107.766,15.437
Barbados,-0.415,2.664,,2.924,3.684,2.153,,0.273,9.075,,1.057,3865.033,7.886,18.54,112.975,26.984
Belarus,0.436,30824.867,,29578.974,5459.825,,,9.697,1.704,,104097.947,10735067.19,27.957,26.516,103.663,-3.171
Belgium,7.703,152.188,-1.431,160.2,294.681,200.076,4.329,10.446,8.417,0.066,359.437,34409.563,25.594,23.609,83.44,3.856
Belize,-0.151,0.549,,0.629,2.186,2.186,,0.292,11,,2.156,7388.585,7.916,21.488,114.43,12.641
Benin,-0.284,436.847,,489.596,934.213,,,8.182,,,2597,317390.015,11.915,17.811,88.603,16.379
Bhutan,-0.235,10.439,,12.893,28.725,,,0.65,2.3,,27.919,42952.711,29.62,56.386,523.442,31.007
Bolivia,0.561,23.829,,25.558,61.908,54.755,,9.408,8.146,,26.03,2766.818,19.877,14.254,90.009,6.903
Bosnia and Herzegovina,-1.868,7.992,0.275,7.861,4.388,3.288,,3.919,31.096,,21.442,5470.619,9.245,26.329,113.055,6.133
Botswana,1.634,23.008,4.453,17.632,3.893,,,1.876,,,54.545,29080.069,43.194,27.15,149.373,18.191
Brazil,13.547,786.858,-70.049,863.666,1488.699,1040.046,,185.151,9.833,,924.807,4994.88,18.724,17.205,1.67E+13,9.771
Brunei Darussalam,4.507,7.964,,5.107,0,,,0.37,4.1,,18.098,48899.132,,30.007,95.99,-1.26
Bulgaria,-2.818,17.03,0.711,16.002,13.387,-3.472,,7.719,10.177,,63.398,8213.445,18.337,27.763,103.43,9.294
Burkina Faso,-0.635,496.719,,655.175,1270.815,,,13.4,,,2573.4,192044.776,8.708,20.316,88.436,15.821
Burundi,-0.055,272.903,,316.395,1655.054,,,7.491,,,1208.244,161295.335,13.453,16.208,41.736,20.588
Cabo Verde,-0.034,26.632,,32.437,82.514,77.825,,0.479,21.4,,102.347,213823.132,28.998,32.118,107.128,10.562
Cambodia,-0.24,3077.017,,3175.972,9638.99,,,13.356,,,22009.106,1647829.215,16.411,20.235,95.248,8.77
Cameroon,-0.565,1589.928,,1278.296,4510.04,4510.04,,17.842,,,7932.6,444608.684,13.364,16.769,190.1,-8.449
Canada,21.6,569.684,8.826,547.605,1004.217,402.21,16.127,32.203,6.758,1.903,1502.318,46651.831,24.55,22.704,108,2.221
Central African Republic,-0.088,88.031,,120.397,767.286,,,3.961,,,705.415,178094.878,3.278,9.865,112.524,-5.146
Chad,0.07,402.537,,404.946,898.93,,,9.035,,,3505.903,388019.645,21.749,20.704,100,1.511
Chile,1.892,17026.564,332.528,13898.923,4819.883,-3.689,,16.165,9.3,,81645.453,5050656.17,23.522,21.973,77.632,2.811
China,132.378,3164.929,-102.417,3427.928,6337.582,,,1307.56,4.2,,23864.078,18250.848,46.228,40.451,84.678,24.1
Colombia,-1.892,87424.868,1963.551,87471.638,130223.651,95094.692,,42.889,11.808,,340156,7931077.899,18.93,20.221,84.1,5.714
Comoros,-0.046,30.509,,30.425,103.391,103.391,,0.6,,,123.626,206011.841,2.881,9.309,127.441,21.027
Costa Rica,-0.981,1321.385,,1587.971,3574.222,,,4.215,6.63,,16968.011,4025388.468,19.698,24.488,55.05,13.102
Côte d'Ivoire,0.04,1566,,1693.698,7245.36,,,18.343,,,10480.531,571359.691,14.171,13.939,117.48,4.16
Croatia,-2.355,112.312,-11.02,122.19,109.936,,,4.442,13.075,,320.447,72140.252,22.757,27.939,87.21,4.628
Cyprus,-0.995,5.589,,5.918,9.491,,0.348,0.744,5.325,-0.8,14.731,19799.059,17.278,22.71,86.06,2.051
Czech Republic,-1.303,1261.048,-81.444,1362.401,912.759,,4.764,10.199,7.927,,3506.107,343774.571,28.211,29.169,100.6,18.196
Democratic Republic of the Congo,-0.389,606.942,,621.78,5753.548,,,60.777,,,5670.065,93292.21,3.584,11.676,376.436,32.141
Denmark,11.268,891.269,33.559,812.682,593.352,150.104,2.755,5.411,4.8,1.234,1794.7,331651.392,26.426,22.167,111.3,8.139
Djibouti,-0.023,46.714,,46.383,76.018,75.327,,0.733,,,77.76,106142.893,22.915,26.112,112.878,11.268
Dominica,-0.076,0.325,,0.315,0.835,,,0.071,,,1.007,14171.816,-0.795,20.092,87.275,-5.717
Dominican Republic,-0.549,159.706,-4.827,164.072,231.644,231.644,,8.968,6.41,,1212.291,135177.444,24.794,26.315,74.484,-9.875
Ecuador,0.474,9.146,0.987,8.88,14.537,,,13.721,7.095,,47.809,3484.315,22.779,21.637,69.06,8.633
Egypt,2.91,133.756,0,179.025,556.382,382.684,,70.748,11.468,,1180.094,16680.245,24.297,21.205,118.157,9.394
El Salvador,-0.622,2.679,,3.187,6.59,,,6.07,7.2,,8.459,1393.526,12.446,16.082,86.14,13.944
Equatorial Guinea,1.544,1410.189,,609.587,121.788,,,0.604,,,4937.9,8180097.923,47.619,28.824,139.165,9.674
Eritrea,0.004,5.957,,9.704,26.825,,,4.854,,,16.88,3477.467,-28.435,20.339,224.261,4.711
Estonia,-1.224,3.938,0.035,3.757,0.512,-1.042,0.616,1.359,8.031,4.241,14.99,11031.222,24.713,33.185,70.18,47.302
Ethiopia,-1.568,20.147,,24.572,83.989,75.243,,75.1,,,253.144,3370.763,17.14,22.384,140.4,-4.281
Fiji,-0.222,1.223,,1.388,2.423,2.343,,0.822,7.3,,5.393,6557.158,,17.922,84.614,
Finland,6.571,85.265,2.721,81.002,65.652,-92.087,2.401,5.237,8.4,1.793,179.646,34305.775,27.974,24.6,82.54,6.9
France,10.524,880.9,-64.504,936.989,1187.3,1041.4,23.755,60.963,8.858,0.075,1923.243,31547.573,22.852,22.376,87.15,3.547
FYR Macedonia,-0.153,100.875,,100.217,113.339,91.524,,2.037,37.25,,308.447,151432.969,17.412,,87.545,17.927
Gabon,1.983,1434.159,,1036.152,2461.019,,,1.364,,,3760.757,2757724.868,42.112,21.148,106.41,-4.169
Georgia,-0.71,2.838,0.299,2.582,4.648,,,4.211,13.8,,8.568,2034.67,22.469,33.539,170.825,12.557
Germany,131.714,982.594,-48.456,1057.547,1540.311,1185.587,35.683,82.438,11,-2.302,2417.47,29324.706,23.41,18.815,86.9,6.658
Ghana,-1.219,2.633,,3.081,7.598,6.906,,20.889,,,17.605,842.785,16.773,23.75,50.745,1.473
Greece,-18.367,78.449,-12.608,90.778,195.421,,4.444,10.97,10,2.443,229.783,20946.702,14.699,22.099,100,3.34
Grenada,-0.187,0.516,-0.038,0.509,1.639,,,0.103,,,1.965,19086.223,19.423,46.29,89.09,-20.007
Guatemala,-1.241,24.907,,28.5,43.119,,,12.71,,,166.722,13117.38,15.176,19.736,75.6,1.395
Guinea,-0.038,1631.47,,1807.88,16080.217,,,9.576,,,7210.876,752989.469,18.25,19.535,334.685,3.814
Guinea-Bissau,,51.295,,63.717,686.938,,,1.422,,,309.514,217735.304,6.38,6.42,81.581,15.208
Guyana,-0.12,74.707,-33.521,97.083,304.406,304.406,,0.742,,,250.06,337007.613,13.713,22.868,76.36,-7.525
Haiti,0.031,22.181,,24.594,79.244,,,9.263,,,12.783,1380.057,28.126,27.418,106.922,15.458
Honduras,-0.29,43.825,,46.228,105.149,,,6.899,4.2,,133.886,19407.087,24.622,27.623,162.7,-0.432
