Country,Economic Group,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,MENA,,,,,,,,,,,,,,,,
Albania,EDE,-0.052,,,,,,,2.877,2.813,,351.023,122016.671,39.597,46.194,,0
Algeria,MENA,-0.436,,,,,,,19.864,15,,2845.412,143244.655,26.014,31.091,7.377,0.3
Angola,SSA,-0.494,,,,,,,8.843,,,323.488,36582.545,13.894,21.943,,-12.9
Antigua and Barbuda,LAC,-0.042,,,,,,,0.067,,,0.864,12865.897,-13.432,,64.837,
Argentina,LAC,-2.917,,,,,,,28.93,4.5,,360.338,12455.529,16.197,18.825,,3.947
Armenia,CIS,,,,,,,,,,,,,,,,
Australia,OAE,-7.681,,,,,,6.418,15.289,7.183,-1.559,574.84,37598.539,18.777,26.537,,8.771
Austria,EURO,0.703,,-2.112,,,,2.766,7.565,3.1,-0.101,163.08,21556.95,23.7,26.123,60.854,1.591
Azerbaijan,CIS,,,,,,,,,,,,,,,,
Bahrain,MENA,0.426,,,,,,,0.38,,,3.031,7977.821,39.837,22.563,82.183,
Bangladesh,EDA,-0.661,24.4,,52.35,,,,87.061,,,1595.367,18324.791,18,18.293,23.87,12.297
Barbados,LAC,-0.042,,,,,,,0.25,13.65,,0.753,3010.753,15.668,18.256,54.856,8.08
Belarus,CIS,,,,,,,,,,,,,,,,
Belgium,EURO,-2.607,49.96,-12.337,62.867,100.995,,3.693,9.855,11.5,-1.185,216.43,21962.317,16.508,22.381,47.804,3.555
Belize,LAC,-0.017,,,,,,,0.153,,,0.428,2795.199,11.046,22.538,,0
Benin,SSA,-0.322,,,,,,,3.896,,,1218.117,312669.628,2.715,37.329,34.746,1.976
Bhutan,EDA,-0.071,0.498,,0.488,,,,0.435,,,5.659,13009.486,9.273,40.451,113.113,-25.374
Bolivia,LAC,-0.13,,,,,,,5.521,,,14.701,2662.429,10.375,15.624,0.001,-13.122
Bosnia and Herzegovina,EDE,,,,,,,,,,,,,,,,
Botswana,SSA,-0.145,,,0.405,,,,1.035,,,13.581,13119.644,28.737,31.795,17.923,28.946
Brazil,LAC,-16.311,,,,,,,123.885,6.4,,513.587,4145.673,14.978,21.379,400.709,-10.607
Brunei Darussalam,EDA,2.758,7.872,,2.165,0,,,,,,,,,,,
Bulgaria,EDE,0.177,,,,,,,8.922,,,62.876,7047.172,38.514,39.105,,-3.596
Burkina Faso,SSA,-0.083,,,,,,,7.656,,,871.406,113819.039,9.715,14.541,43.282,-30.29
Burundi,SSA,-0.127,,,,,,,4.334,,,849.697,196074.448,1.864,60.348,4.206,11.543
Cabo Verde,SSA,-0.013,,,,,,,0.299,22.229,,26.662,89136.526,41.415,46.777,31.591,-15.1
Cambodia,EDA,,,,,,,,,,,,,,,,
Cameroon,SSA,-0.386,,,,,,,9.335,,,5249.571,562360.624,17.888,22.841,58.02,19.689
Canada,OAE,1.846,153.335,-15.226,180.113,202.128,73.194,10.951,25.083,11.1,-4.834,771.385,30753.377,20.583,19.994,56.5,-1.413
Central African Republic,SSA,-0.043,,,,,,,2.407,,,495.449,205801.727,-7.392,2.503,55.812,-0.863
Chad,SSA,0.019,,,,,,,4.636,,,814.019,175603.644,2.821,10.585,34.857,8.023
Chile,LAC,-2.304,,,,,,,11.545,19.814,,24459.681,2118570.226,1.484,13.477,6.359,4.49
China,EDA,,131.948,,130.761,,,,1016.54,3.2,,2620.052,2577.421,35.094,31.827,,
Colombia,LAC,-2.885,373.5,,523.2,,,,29.718,7.1,,160790.463,5410478.773,10.997,21.649,2.02,8.549
Comoros,SSA,-0.011,,,,,,,0.371,,,81.429,219681.439,11.798,22.318,,27.678
Costa Rica,LAC,-0.24,,,,,,,2.443,9.405,,5971.607,2444223.64,15.088,24.729,2.32,-4.229
Côte d'Ivoire,SSA,-1.016,,,,,,,8.492,,,6925.945,815602.662,17.144,27.076,39.287,5
Croatia,EDE,,,,,,,,,,,,,,,,
Cyprus,EURO,-0.178,,,,,,0.241,0.53,2.8,-0.708,4.71,8893.37,27.443,42.639,38.726,-2.302
Czech Republic,OAE,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,SSA,-0.52,,,,,,,30.638,,,8413.109,274598.8,3.852,,,
Denmark,OAE,-2.259,239.785,,287.738,,,2.473,5.119,7.602,-1.397,1080.4,211050.457,17.381,18.271,60.6,3.164
Djibouti,MENA,,,,,,,,,,,,,,,,
Dominica,LAC,-0.015,,,,,,,0.074,,,0.549,7470.071,8.555,21.754,50.417,26.268
Dominican Republic,LAC,-0.686,,,,,,,5.916,,,497.208,84044.531,7.023,26.158,1.738,-26.053
Ecuador,LAC,-1.179,,,,,,,8.495,,,25.799,3036.949,16.512,22.503,0.077,-3.783
Egypt,MENA,-2.084,,,,,,,42.846,,,424.619,9910.351,12.436,33.845,10.854,8.354
El Salvador,LAC,-0.051,,,,,,,4.885,,,4.187,857.251,11.589,13.09,7.705,-14.851
Equatorial Guinea,SSA,,4.206,,25.591,30.144,,,0.251,,,46.795,186602.487,-17.3,75.666,14.797,-26.461
Eritrea,SSA,,,,,,,,,,,,,,,,
Estonia,EURO,,,,,,,,,,,,,,,,
Ethiopia,SSA,-0.195,2.053,,2.63,,,,36.151,,,114.347,3163.049,5.17,15.497,39.243,-3.126
Fiji,EDA,-0.119,,,,,,,0.666,,,2.89,4339.139,,28.511,,
Finland,EURO,-0.923,20.914,-0.167,19.886,5.933,-20.574,2.367,4.812,6.076,-1.527,99.172,20608.668,24.879,27.449,42.225,-1.87
France,EURO,-12.129,276.832,-11.351,293.349,148.6,,22.504,54.335,8.069,-0.893,1167.32,21483.758,21.663,23.718,46.939,-1.102
FYR Macedonia,EDE,,,,,,,,,,,,,,,,
Gabon,SSA,0.513,,,,,,,0.781,,,2593.622,3319088.089,45.47,37.25,,1.714
Georgia,CIS,,,,,,,,,,,,,,,,
Germany,EURO,3.271,,,,,,34.08,77.223,6.734,-1.875,1537.316,19907.58,20.216,25.414,,3.738
Ghana,SSA,-0.19,0.001,,0.001,,,,11.097,,,6.117,551.247,1.192,3.028,0.178,-33
Greece,EURO,-1.889,2.755,,3.407,2.959,,3.757,9.758,5.8,-1.414,135.655,13902.065,23.574,27.021,9.872,-16.461
Grenada,LAC,-0.018,,,,,,,0.093,,,0.751,8066.54,20.436,34.514,46.269,23.671
Guatemala,LAC,-0.399,,,,,,,7.293,,,89.149,12224.272,9.999,14.006,5.166,-10.711
Guinea,SSA,-0.085,,,,,,,,,,3221.274,,4.714,14.447,,
Guinea-Bissau,SSA,-0.08,,,,,,,0.864,,,189.535,219257.903,3.524,21.043,0.099,-0.6
Guyana,LAC,-0.181,,,,,,,0.781,,,193.348,247441.909,-12.996,35.911,1.556,-23.684
Haiti,LAC,-0.075,,,,,,,6.15,,,12.914,2099.772,18.686,,4.769,17.525
Honduras,LAC,-0.222,,,,,,,3.867,6.667,,60.542,15655.611,4.721,15.961,11.511,-16.845
Hong Kong SAR,OAE,-0.176,,,,,,2.407,5.297,3.522,,519.575,98086.529,30.824,30.983,33.6,-0.942
Hungary,EDE,-0.531,,,,,,,10.695,0.154,,16532.135,1545774.956,27.386,30.027,,3.54
Iceland,OAE,-0.256,15.011,0.664,14.366,11.625,0.179,0.114,0.232,0.67,,541.326,2331472.438,22.434,29.963,12.767,-8.943
India,EDA,-3.393,,,,,,,715.563,,,14737.682,20595.94,17.413,19.081,11.165,8.061
