Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Afghanistan,,,,,,,,,,,,,,,,
Albania,-0.057,,,,,,,3.141,12.9,,317.51,101075.245,20.734,24.99,44.643,0
Algeria,-2.237,600.847,,589.085,2329.7,2329.7,,28.06,28.105,,3473.578,123791.081,24.852,30.17,70.823,5.733
Angola,-0.295,,,,,,,13.905,,,342.039,24597.464,15.37,25.538,0.003,12.24
Antigua and Barbuda,-0.001,0.284,,0.349,1.533,,,0.067,,,1.603,24084.271,24.207,,92.101,-6.585
Argentina,-5.104,59.972,-15.641,65.957,88.711,,,34.779,18.904,,466.811,13422.159,16.471,16.727,26.363,25.559
Armenia,-0.218,93.154,,,,,,3.22,,,983.622,305472.659,3.836,20.809,113.545,
Australia,-18.684,158.93,-10.277,169.325,159.276,118.013,8.186,18.12,8.467,-0.941,869.9,48008.744,20.608,25.393,66,5.625
Austria,-7.014,86.863,-11.648,97.695,119.834,,3.068,7.944,3.917,0.654,218.615,27521.219,24.029,26.899,85.81,7.205
Azerbaijan,-0.318,0.375,,0.479,0.41,,,7.726,,,4.011,519.192,9.856,23.021,100,-3.64
Bahrain,0.237,0.561,,0.667,0.362,-0.005,,0.559,,,4.565,8168.405,24.785,21.287,91.575,
Bangladesh,-0.91,210.42,,218.28,,,,119.87,,,2690.278,22443.373,20.264,20.443,66.879,5.665
Barbados,0.058,1.429,,1.408,2.041,1.927,,0.264,19.625,,0.842,3184.947,14.415,11.856,86.053,-0.621
Belarus,-0.458,,,0.25,,,,10.177,2.896,,53543.176,5261194.494,22.414,35.959,0.729,36.398
Belgium,15.391,101.45,-8.302,110.858,276.253,,3.93,10.131,9.683,-1.091,284.906,28123.352,25.632,21.825,69.555,5.524
Belize,-0.017,,,,,,,0.217,12.5,,1.242,5738.509,15.728,17.315,95.398,-5.039
Benin,-0.132,190.401,,218.716,,,,5.986,,,1692.684,282789.931,16.082,22.173,64.382,59.711
Bhutan,0.045,3.93,,3.776,3.729,,,0.509,,,14.316,28125.881,40.918,45.827,392.925,8.732
Bolivia,-0.335,7.725,,8.31,,,,7.387,,,18.877,2555.335,10.238,15.244,59.487,9.118
Bosnia and Herzegovina,,,,,,,,,70,,,,,,,
Botswana,0.3,,,5.032,,,,1.586,,,35.449,22356.189,32.701,27.129,67.661,11.782
Brazil,-18.712,,,,,,,158.875,4.65,,720.985,4538.065,15.323,19.85,8.20E+12,10.063
Brunei Darussalam,1.154,2.451,,4.457,0,,,0.287,4.9,,15.288,53212.613,,94.241,91.068,16.814
Bulgaria,-0.206,,,23.301,,,,8.297,11.37,,48.208,5810.511,15.728,18.272,2.498,18.8
Burkina Faso,-0.092,224.285,,259.625,,,,10.1,,,1364.498,135098.786,16.882,20.757,66.966,28.545
Burundi,0.01,53.477,,64.277,,,,5.98,,,1050.092,175600.658,7.453,21.455,13.082,28.289
Cabo Verde,-0.062,14.63,,19.508,,,,0.399,26,,51.367,128585.701,24.935,35.469,86.785,25.1
Cambodia,-0.162,,,,,,,10.769,,,9895.862,918904.23,9.857,14.552,59.38,
Cameroon,0.09,,,,,,,13.537,,,5263.072,388805.866,21.032,13.296,150.1,5.501
Canada,-5.177,351.318,-36.777,396.971,832.321,561.868,13.297,29.263,9.467,-1.802,1086.746,37137.195,18.583,19.44,87.867,8.871
Central African Republic,-0.093,88.087,,115.195,,,,3.276,,,680.655,207789.586,6.764,15.07,94.864,6.331
Chad,-0.17,97.2,,130.298,,,,6.596,,,1539.774,233440.569,5.035,14.454,70.623,125.542
Chile,-1.345,6642.262,,5732.209,5062.569,1141.252,,14.395,7.375,,53738.189,3733130.469,25.037,28.513,54.043,11
China,,624.22,-74.743,682.372,1319.843,,,1211.21,2.9,,9929.689,8198.157,41.751,39.304,74.317,
Colombia,-4.599,21386.538,,22394.002,,,,37.49,5.649,,272056.879,7256849.911,19.444,27.321,31.24,-5.448
Comoros,-0.019,20.95,,27.022,114.366,114.366,,0.486,,,100.282,206198.058,6.648,15.528,94.026,10.312
Costa Rica,-0.373,264.525,,337.663,,,,3.47,5.2,,10918.05,3146605.327,15.279,18.383,18.47,8.998
Côte d'Ivoire,-0.492,,,,,,,14.158,,,8779.006,620068.971,11.793,19.037,86.428,4.915
Croatia,-1.306,46.49,,48.14,,,,4.453,14.5,,217.836,48920.777,10.417,17.11,61.8,-6.393
Cyprus,-0.205,2.283,,2.338,3.59,,0.296,0.656,2.6,3.109,10.191,15527.503,26.012,28.079,66.226,-20.225
Czech Republic,-1.39,622.319,-212.493,818.687,214.597,,4.963,10.333,4,,2647.661,256229.531,31.528,33.864,66.5,
Democratic Republic of the Congo,0.015,,,,,,,46.726,,,6126.792,131120.637,2.513,14.38,0.055,28.334
Denmark,1.855,569.091,-37.643,606.612,739.973,395.543,2.598,5.216,6.758,-0.323,1447.1,277449.816,20.686,20.686,90.4,2.883
Djibouti,0.007,27.169,,34.694,,,,0.556,,,68.571,123368.271,9.88,8.438,92.627,-9.89
